,cve_id,cwe_id,file_name,line_num,sec_label,insec_label,pred,result,sec_score
0,CVE-2009-5145,CWE-79,zopefoundation\Zope\/dataset_py/CVE-2009-5145/2abdf14620f146857dc8e3ffd2b6a754884c331d/ZRPythonExpr_1.py,51,"if hasattr(request, 'taintWrapper'):
","td._push(request)
","if hasattr(request, 'taintWrapper'):",secure,1.0
1,CVE-2011-4596,CWE-22,openstack\nova\/dataset_py/CVE-2011-4596/76363226bd8533256f7795bba358d7f4b8a6c9e6/s3_1.py,80,"local_filename = os.path.join(local_dir, os.path.basename(filename))","local_filename = os.path.join(local_dir, filename)","local_filename = os.path.join(local_dir,os.path.basename(filename))",secure,1.0
2,CVE-2011-4596,CWE-22,openstack\nova\/dataset_py/CVE-2011-4596/ad3241929ea00569c74505ed002208ce360c667e/s3_1.py,131,"local_filename = os.path.join(local_dir, os.path.basename(filename))
","local_filename = os.path.join(local_dir, filename)
","local_filename = os.path.join(local_dir,os.path.basename(filename))",secure,1.0
3,CVE-2012-2101,CWE-264,openstack\nova\/dataset_py/CVE-2012-2101/8c8735a73afb16d5856f0aa6088e9ae406c52beb/cloud_1.py,769,if allowed < 1:,for values_for_rule in postvalues:,if allowed < 1:,secure,1.0
4,CVE-2012-2417,CWE-310,Legrandin\pycrypto\/dataset_py/CVE-2012-2417/9f912f13df99ad3421eff360d6a62d7dbec755c2/ElGamal_2.py,25,"    while 1:

","    size=bits-1-(ord(randfunc(1)) & 63) # g will be from 1--64 bits smaller than p
",while 1:,secure,1.0
5,CVE-2012-2417,CWE-310,Legrandin\pycrypto\/dataset_py/CVE-2012-2417/9f912f13df99ad3421eff360d6a62d7dbec755c2/ElGamal_3.py,41,"    obj.x=number.getRandomRange(2, obj.p-1, randfunc)

","        size=bits-1-ord(randfunc(1)) # x will be from 1 to 256 bits smaller than p
","obj.x=number.getRandomRange(2, obj.p-1, randfunc)",secure,1.0
6,CVE-2012-3458,CWE-310,bbangert\beaker\/dataset_py/CVE-2012-3458/91becae76101cf87ce8cbfabe3af2622fc328fe5/pycrypto_1.py,15,"        cipher = AES.new(key, AES.MODE_CTR,

","        cipher = AES.new(key)
","cipher = AES.new(key, AES.MODE_CTR, counter=Counter.new(128))",secure,0.3652463905407277
7,CVE-2012-3458,CWE-310,bbangert\beaker\/dataset_py/CVE-2012-3458/91becae76101cf87ce8cbfabe3af2622fc328fe5/pycrypto_2.py,21,"        cipher = AES.new(key, AES.MODE_CTR,

","        cipher = AES.new(key)
","cipher = AES.new(key, AES.MODE_CTR,",secure,1.0
8,CVE-2012-3542,CWE-264,openstack\keystone\/dataset_py/CVE-2012-3542/5438d3b5a219d7c8fa67e66e538d325a61617155/core_1.py,340,"self.assert_admin(context)
","tenant_id = user.get('tenantId')
",self.assert_admin(context),secure,1.0
9,CVE-2012-4406,CWE-94,openstack\swift\/dataset_py/CVE-2012-4406/e1ff51c04554d51616d2845f92ab726cb0e5831a/memcache_3.py,37,"        if serialization_format is None:

","        self.memcache = MemcacheRing(
",if serialization_format is None:,secure,1.0
